/home/lujunda/.conda/envs/myyolov5/lib/python3.7/site-packages/torchvision/models/_utils.py:209: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  f"The parameter '{pretrained_param}' is deprecated since 0.13 and may be removed in the future, "
/home/lujunda/.conda/envs/myyolov5/lib/python3.7/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
Epoch [1/30], Batch [815/1163], Loss: 9.2958
Epoch [1/30], Batch [820/1163], Loss: 9.2948
Epoch [1/30], Batch [825/1163], Loss: 9.2798
Epoch [1/30], Batch [830/1163], Loss: 9.3192
Epoch [1/30], Batch [835/1163], Loss: 9.3122
Epoch [1/30], Batch [840/1163], Loss: 9.2219
Epoch [1/30], Batch [845/1163], Loss: 9.2185
Epoch [1/30], Batch [850/1163], Loss: 9.3217
Epoch [1/30], Batch [855/1163], Loss: 9.2711
Epoch [1/30], Batch [860/1163], Loss: 9.2469
Epoch [1/30], Batch [865/1163], Loss: 9.1515
Epoch [1/30], Batch [870/1163], Loss: 9.1784
Epoch [1/30], Batch [875/1163], Loss: 9.1078
Epoch [1/30], Batch [880/1163], Loss: 9.2820
Epoch [1/30], Batch [885/1163], Loss: 9.2802
Epoch [1/30], Batch [890/1163], Loss: 9.1184
Epoch [1/30], Batch [895/1163], Loss: 9.2118
Epoch [1/30], Batch [900/1163], Loss: 9.3061
Epoch [1/30], Batch [905/1163], Loss: 9.3367
Epoch [1/30], Batch [910/1163], Loss: 9.3043
Epoch [1/30], Batch [915/1163], Loss: 9.1801
Epoch [1/30], Batch [920/1163], Loss: 9.2709
Epoch [1/30], Batch [925/1163], Loss: 9.1873
Epoch [1/30], Batch [930/1163], Loss: 9.2073
Epoch [1/30], Batch [935/1163], Loss: 9.2255
Epoch [1/30], Batch [940/1163], Loss: 9.2383
Epoch [1/30], Batch [945/1163], Loss: 9.1036
Epoch [1/30], Batch [950/1163], Loss: 9.1957
Epoch [1/30], Batch [955/1163], Loss: 9.2178
Epoch [1/30], Batch [960/1163], Loss: 9.2043
Epoch [1/30], Batch [965/1163], Loss: 9.3561
Epoch [1/30], Batch [970/1163], Loss: 9.2377
Epoch [1/30], Batch [975/1163], Loss: 9.1981
Epoch [1/30], Batch [980/1163], Loss: 9.2499
Epoch [1/30], Batch [985/1163], Loss: 9.0906
Epoch [1/30], Batch [990/1163], Loss: 9.2735
Epoch [1/30], Batch [995/1163], Loss: 9.3382
Epoch [1/30], Batch [1000/1163], Loss: 9.2423
Epoch [1/30], Batch [1005/1163], Loss: 9.3631
Epoch [1/30], Batch [1010/1163], Loss: 9.1793
Epoch [1/30], Batch [1015/1163], Loss: 9.2684
Epoch [1/30], Batch [1020/1163], Loss: 9.1972
Epoch [1/30], Batch [1025/1163], Loss: 9.2143
Epoch [1/30], Batch [1030/1163], Loss: 9.3629
Epoch [1/30], Batch [1035/1163], Loss: 9.2549
Epoch [1/30], Batch [1040/1163], Loss: 9.2956
Epoch [1/30], Batch [1045/1163], Loss: 9.2809
Epoch [1/30], Batch [1050/1163], Loss: 9.2961
Epoch [1/30], Batch [1055/1163], Loss: 9.2371
Epoch [1/30], Batch [1060/1163], Loss: 9.2042
Epoch [1/30], Batch [1065/1163], Loss: 9.1310
Epoch [1/30], Batch [1070/1163], Loss: 9.1852
Epoch [1/30], Batch [1075/1163], Loss: 9.3394
Epoch [1/30], Batch [1080/1163], Loss: 9.3177
Epoch [1/30], Batch [1085/1163], Loss: 9.1588
Epoch [1/30], Batch [1090/1163], Loss: 9.2358
Epoch [1/30], Batch [1095/1163], Loss: 9.2412
Epoch [1/30], Batch [1100/1163], Loss: 9.4024
Epoch [1/30], Batch [1105/1163], Loss: 9.1448
Epoch [1/30], Batch [1110/1163], Loss: 9.2598
Epoch [1/30], Batch [1115/1163], Loss: 9.0434
Epoch [1/30], Batch [1120/1163], Loss: 9.1994
Epoch [1/30], Batch [1125/1163], Loss: 9.3328
Epoch [1/30], Batch [1130/1163], Loss: 9.1039
Epoch [1/30], Batch [1135/1163], Loss: 9.3205
Epoch [1/30], Batch [1140/1163], Loss: 9.4071
Epoch [1/30], Batch [1145/1163], Loss: 9.3872
